Date,Clicks,Impressions,CTR,Position
2025-07-02,0,0,,
2025-07-03,0,0,,
2025-07-04,0,1,0%,8
2025-07-05,0,0,,
2025-07-06,0,0,,
2025-07-07,0,1,0%,4
2025-07-08,0,0,,
2025-07-09,0,2,0%,9.5
2025-07-10,0,0,,
2025-07-11,0,0,,
2025-07-12,0,0,,
2025-07-13,0,0,,
2025-07-14,0,0,,
2025-07-15,1,31,3.23%,18.2
2025-07-16,1,273,0.37%,19.2
2025-07-17,2,503,0.4%,15.2
2025-07-18,3,558,0.54%,14.6
2025-07-19,0,678,0%,16.9
2025-07-20,2,737,0.27%,15.2
2025-07-21,1,928,0.11%,15.8
2025-07-22,4,1210,0.33%,18
2025-07-23,11,2183,0.5%,17.6
2025-07-24,11,2825,0.39%,17.8
2025-07-25,12,3343,0.36%,18.3
2025-07-26,12,3669,0.33%,18.9
2025-07-27,7,2047,0.34%,15.6
2025-07-28,1,175,0.57%,34.8
2025-07-29,1,135,0.74%,35.9
2025-07-30,1,185,0.54%,32.3
2025-07-31,0,198,0%,38.4
2025-08-01,0,171,0%,35
2025-08-02,0,156,0%,39.7
2025-08-03,1,154,0.65%,39.6
2025-08-04,2,180,1.11%,40.8
2025-08-05,2,160,1.25%,42.3
2025-08-06,2,140,1.43%,35.1
2025-08-07,1,136,0.74%,45
2025-08-08,1,108,0.93%,46
2025-08-09,0,113,0%,48.8
2025-08-10,2,105,1.9%,39.3
2025-08-11,1,92,1.09%,35.7
2025-08-12,0,99,0%,40.4
2025-08-13,1,91,1.1%,30.6
2025-08-14,0,109,0%,30.6
2025-08-15,1,87,1.15%,27.8
2025-08-16,1,70,1.43%,26.5
2025-08-17,1,88,1.14%,41.5
2025-08-18,1,65,1.54%,27.1
2025-08-19,0,65,0%,26.1
2025-08-20,0,63,0%,24.7
2025-08-21,0,69,0%,37
2025-08-22,0,35,0%,33.7
2025-08-23,0,35,0%,28.8
2025-08-24,0,36,0%,31.1
2025-08-25,1,82,1.22%,35.7
2025-08-26,4,756,0.53%,18
2025-08-27,10,1983,0.5%,14.5
2025-08-28,13,1927,0.67%,14.2
2025-08-29,11,1814,0.61%,14.9
2025-08-30,12,2083,0.58%,15.7
2025-08-31,14,1861,0.75%,16.6
2025-09-01,13,2228,0.58%,17.1
2025-09-02,23,2337,0.98%,14
2025-09-03,9,2197,0.41%,14.6
2025-09-04,16,2547,0.63%,14
2025-09-05,11,2147,0.51%,26.7
2025-09-06,14,2273,0.62%,14.8
2025-09-07,22,2111,1.04%,14.7
2025-09-08,21,2417,0.87%,14.8
2025-09-09,14,2304,0.61%,14
2025-09-10,17,2351,0.72%,13
2025-09-11,20,2252,0.89%,12.9
2025-09-12,23,2191,1.05%,8.9
2025-09-13,17,2335,0.73%,8.4
2025-09-14,11,2147,0.51%,8.9
2025-09-15,13,1993,0.65%,8.9
2025-09-16,10,2631,0.38%,8
2025-09-17,14,2424,0.58%,8.4
2025-09-18,14,2536,0.55%,8.2
2025-09-19,10,2121,0.47%,8.9
2025-09-20,8,2010,0.4%,8.2
2025-09-21,12,1958,0.61%,8.1
2025-09-22,9,2097,0.43%,8.6
2025-09-23,6,1748,0.34%,8.3
2025-09-24,2,2527,0.08%,8.9
2025-09-25,12,1900,0.63%,8.4
2025-09-26,6,1622,0.37%,8.4
2025-09-27,5,2450,0.2%,8.3
2025-09-28,9,1566,0.57%,8.6
2025-09-29,10,1811,0.55%,8.8
2025-09-30,15,1920,0.78%,8.7
2025-10-01,14,1790,0.78%,9.1
2025-10-02,5,2243,0.22%,8.8
2025-10-03,15,2298,0.65%,8.4
2025-10-04,8,1923,0.42%,8.1
2025-10-05,14,2043,0.69%,8.3
2025-10-06,17,1957,0.87%,8.2
2025-10-07,19,1774,1.07%,8.4
2025-10-08,13,1987,0.65%,8.8
2025-10-09,10,1925,0.52%,8.4
2025-10-10,12,2259,0.53%,8.4
2025-10-11,10,1781,0.56%,8.5
2025-10-12,7,1640,0.43%,8.6
2025-10-13,10,2397,0.42%,8.4
2025-10-14,11,1988,0.55%,8.6
2025-10-15,17,2385,0.71%,8.1
2025-10-16,9,2051,0.44%,8.2
2025-10-17,8,1837,0.44%,8.3
2025-10-18,9,1921,0.47%,8.3
2025-10-19,15,1761,0.85%,8.5
2025-10-20,13,1909,0.68%,8.3
2025-10-21,9,1825,0.49%,8.1
2025-10-22,15,2078,0.72%,8.5
2025-10-23,10,2114,0.47%,8.4
2025-10-24,13,1963,0.66%,8.6
2025-10-25,13,1918,0.68%,10.3
2025-10-26,12,1869,0.64%,8.9
2025-10-27,14,2666,0.53%,8.3
2025-10-28,24,4058,0.59%,7.1
2025-10-29,14,2658,0.53%,10.1
2025-10-30,12,2710,0.44%,9.3
2025-10-31,7,2354,0.3%,11.6
2025-11-01,8,2445,0.33%,10.6
2025-11-02,28,2560,1.09%,10.6
2025-11-03,15,2533,0.59%,11.4
2025-11-04,23,2429,0.95%,10.5
2025-11-05,23,2625,0.88%,10.3
2025-11-06,16,2868,0.56%,10.6
2025-11-07,21,2852,0.74%,11.1
2025-11-08,16,2609,0.61%,11.2
2025-11-09,12,2867,0.42%,23.6
2025-11-10,14,2962,0.47%,11.1
2025-11-11,16,2833,0.56%,10.4
2025-11-12,11,3336,0.33%,10.6
2025-11-13,24,3471,0.69%,13
2025-11-14,15,2993,0.5%,10.2
2025-11-15,20,2945,0.68%,9.6
2025-11-16,25,3072,0.81%,9.7
2025-11-17,13,3633,0.36%,9.2
2025-11-18,22,3640,0.6%,10.1
2025-11-19,14,3827,0.37%,10.3
2025-11-20,22,3977,0.55%,10.4
2025-11-21,19,3680,0.52%,10.1
2025-11-22,21,3751,0.56%,10.5
2025-11-23,19,3754,0.51%,9.6
2025-11-24,17,4226,0.4%,9.5
2025-11-25,19,4428,0.43%,11.7
2025-11-26,34,4407,0.77%,10.6
2025-11-27,19,4556,0.42%,10.4
2025-11-28,21,4197,0.5%,10.2
2025-11-29,16,4087,0.39%,10.4
2025-11-30,15,3606,0.42%,11.5
2025-12-01,17,3276,0.52%,11.2
2025-12-02,17,4140,0.41%,11.4
2025-12-03,28,4245,0.66%,9.4
2025-12-04,21,4511,0.47%,10.9
2025-12-05,24,4100,0.59%,11.3
2025-12-06,11,4235,0.26%,11.8
2025-12-07,26,4605,0.56%,11.5
2025-12-08,28,5097,0.55%,11.7
2025-12-09,25,4900,0.51%,11.2
2025-12-10,27,4484,0.6%,10.6
2025-12-11,11,4826,0.23%,12.5
2025-12-12,22,4744,0.46%,12.6
2025-12-13,14,4332,0.32%,12.5
2025-12-14,18,3816,0.47%,11.7
2025-12-15,18,4531,0.4%,11.3
2025-12-16,17,4486,0.38%,11.2
2025-12-17,22,4325,0.51%,11.1
2025-12-18,21,3687,0.57%,12.6
2025-12-19,21,3934,0.53%,13.4
2025-12-20,19,4444,0.43%,13.6
2025-12-21,16,4751,0.34%,14.8
2025-12-22,14,4908,0.29%,11.3
2025-12-23,18,4838,0.37%,11
2025-12-24,25,4588,0.54%,11.8
2025-12-25,26,4357,0.6%,13.2
2025-12-26,15,4675,0.32%,12
2025-12-27,19,4357,0.44%,12.1
2025-12-28,17,4117,0.41%,10.5
2025-12-29,23,4935,0.47%,11.6
2025-12-30,20,4816,0.42%,10.9
2025-12-31,17,3579,0.47%,12.6
2026-01-01,26,3798,0.68%,12.7
2026-01-02,15,4859,0.31%,12.2
2026-01-03,23,4777,0.48%,11.4
2026-01-04,25,4893,0.51%,12.3
2026-01-05,20,5336,0.37%,12
2026-01-06,26,5505,0.47%,10.6
2026-01-07,28,5318,0.53%,11.4
2026-01-08,18,5395,0.33%,12.2
2026-01-09,19,5566,0.34%,12
2026-01-10,23,5290,0.43%,11.9
2026-01-11,23,5057,0.45%,11.9
2026-01-12,31,5884,0.53%,10.7
2026-01-13,25,6399,0.39%,13.6
2026-01-14,25,5664,0.44%,10.4
2026-01-15,24,5414,0.44%,10.7
2026-01-16,19,5454,0.35%,12.5
2026-01-17,24,5314,0.45%,13.1
2026-01-18,28,5576,0.5%,16.2
2026-01-19,21,5957,0.35%,11.6
2026-01-20,29,7834,0.37%,12.4
2026-01-21,30,5289,0.57%,11
2026-01-22,25,6082,0.41%,13.7
2026-01-23,24,5260,0.46%,13.1
2026-01-24,16,5825,0.27%,14.4
2026-01-25,27,5841,0.46%,17.8
2026-01-26,25,6141,0.41%,12.1
2026-01-27,33,5883,0.56%,12.1
2026-01-28,35,5654,0.62%,11.5
2026-01-29,25,5436,0.46%,11.8
2026-01-30,23,5674,0.41%,12.2
2026-01-31,27,5744,0.47%,12.1
2026-02-01,24,5471,0.44%,13.1
2026-02-02,26,6178,0.42%,11.8
2026-02-03,36,6909,0.52%,10.5
2026-02-04,24,6210,0.39%,10
2026-02-05,20,6793,0.29%,10.8
2026-02-06,22,6439,0.34%,11.2
2026-02-07,27,6561,0.41%,9.8
2026-02-08,30,6713,0.45%,11.1
2026-02-09,26,6807,0.38%,11.2
2026-02-10,31,6500,0.48%,11.5
2026-02-11,29,6408,0.45%,11
2026-02-12,31,6643,0.47%,11.1
2026-02-13,16,6110,0.26%,10.2
2026-02-14,29,5994,0.48%,10.3
2026-02-15,24,5151,0.47%,11.4
2026-02-16,37,6478,0.57%,14.7
2026-02-17,30,6110,0.49%,12
2026-02-18,25,5355,0.47%,12.2
2026-02-19,25,5703,0.44%,12.8
2026-02-20,37,5958,0.62%,11.8
2026-02-21,22,5929,0.37%,12.1
2026-02-22,44,5356,0.82%,13
2026-02-23,27,5877,0.46%,12.8
2026-02-24,33,5823,0.57%,12.4
2026-02-25,32,5937,0.54%,12.6
2026-02-26,35,5826,0.6%,12
2026-02-27,22,5744,0.38%,11.9
2026-02-28,20,4268,0.47%,12.8
2026-03-01,14,3943,0.36%,15.6
2026-03-02,27,4666,0.58%,14.2
2026-03-03,21,4908,0.43%,13.2
2026-03-04,26,5579,0.47%,14
2026-03-05,25,5139,0.49%,14.8
2026-03-06,19,5289,0.36%,14.4
2026-03-07,30,5216,0.58%,13.3
2026-03-08,27,4699,0.57%,15.1
2026-03-09,24,5737,0.42%,16.1
2026-03-10,33,5649,0.58%,15.8
2026-03-11,31,6402,0.48%,17.1
2026-03-12,28,6610,0.42%,15.4
2026-03-13,32,5826,0.55%,13.3
2026-03-14,31,6156,0.5%,13.9
2026-03-15,31,4947,0.63%,12.7
2026-03-16,26,6377,0.41%,14.9
2026-03-17,35,6102,0.57%,14.6
2026-03-18,18,6166,0.29%,13.7
2026-03-19,28,4684,0.6%,15.5
2026-03-20,20,3460,0.58%,16.3
2026-03-21,28,4070,0.69%,15.8
2026-03-22,28,5020,0.56%,15.6
2026-03-23,37,5833,0.63%,14.2
2026-03-24,34,6099,0.56%,14.4
2026-03-25,24,5386,0.45%,12.9
2026-03-26,39,5864,0.67%,12.8
2026-03-27,27,4901,0.55%,13
2026-03-28,48,6920,0.69%,11.2
2026-03-29,31,6566,0.47%,12.2
2026-03-30,41,7358,0.56%,12.3
2026-03-31,26,5931,0.44%,11.9
2026-04-01,27,6351,0.43%,11.4
2026-04-02,28,6397,0.44%,11.8
2026-04-03,31,6799,0.46%,10.7
2026-04-04,41,7152,0.57%,10.2
2026-04-05,36,6651,0.54%,12.4
2026-04-06,33,7553,0.44%,11.3
2026-04-07,38,7175,0.53%,10.3
2026-04-08,35,7339,0.48%,10.3
2026-04-09,31,6880,0.45%,11.9
2026-04-10,23,7179,0.32%,11.8
2026-04-11,24,7029,0.34%,10.4
2026-04-12,27,6104,0.44%,11.8
2026-04-13,35,7378,0.47%,12.6
2026-04-14,43,7217,0.6%,10.7
2026-04-15,34,7074,0.48%,10.6
2026-04-16,37,7198,0.51%,11.3
2026-04-17,33,8151,0.4%,10
2026-04-18,35,8190,0.43%,10.2
2026-04-19,39,6883,0.57%,11.5
2026-04-20,45,6611,0.68%,13.3
2026-04-21,45,6615,0.68%,12.5
2026-04-22,40,6096,0.66%,12
2026-04-23,41,6801,0.6%,13.8
2026-04-24,37,6493,0.57%,11.8
2026-04-25,33,6424,0.51%,11.6
2026-04-26,35,5932,0.59%,13
2026-04-27,43,7003,0.61%,13.6
2026-04-28,35,6980,0.5%,12.4
2026-04-29,33,6371,0.52%,11.6
2026-04-30,44,7249,0.61%,11.4
2026-05-01,28,6351,0.44%,10.9
2026-05-02,32,7151,0.45%,10.2
2026-05-03,38,6754,0.56%,11.1
2026-05-04,31,6823,0.45%,13.4
2026-05-05,33,6949,0.47%,12.4
2026-05-06,41,7219,0.57%,11
2026-05-07,30,7340,0.41%,11.5
2026-05-08,37,6971,0.53%,11.1
2026-05-09,31,7094,0.44%,11.2
2026-05-10,44,6674,0.66%,12.1
2026-05-11,42,8144,0.52%,13.9
2026-05-12,43,7335,0.59%,13.5
2026-05-13,26,7966,0.33%,15.2
2026-05-14,25,6768,0.37%,12.5
2026-05-15,41,7079,0.58%,11.7
2026-05-16,29,6540,0.44%,11.7
2026-05-17,39,5906,0.66%,12.3
2026-05-18,34,6397,0.53%,12.9
2026-05-19,34,6979,0.49%,14
2026-05-20,52,6355,0.82%,11.3
2026-05-21,44,6281,0.7%,12.2
2026-05-22,38,6700,0.57%,12.6
2026-05-23,39,6450,0.6%,11.7
2026-05-24,30,6557,0.46%,12.3
2026-05-25,36,7212,0.5%,13.8
2026-05-26,36,5495,0.66%,15.9
2026-05-27,24,4135,0.58%,15.3
2026-05-28,33,5421,0.61%,13.9
2026-05-29,41,7139,0.57%,12.8
2026-05-30,42,7740,0.54%,11
2026-05-31,35,7152,0.49%,12.6
2026-06-01,36,7926,0.45%,13.1
2026-06-02,40,7554,0.53%,13.8
2026-06-03,52,7025,0.74%,11.3
2026-06-04,50,7303,0.68%,11.6
2026-06-05,33,7577,0.44%,11.5
2026-06-06,47,8360,0.56%,11.2
2026-06-07,47,7608,0.62%,11.5
2026-06-08,47,8090,0.58%,13
2026-06-09,41,8714,0.47%,11.5
2026-06-10,48,8045,0.6%,10.6
2026-06-11,40,8631,0.46%,10.6
2026-06-12,36,8249,0.44%,11.1
2026-06-13,34,8789,0.39%,10.8
2026-06-14,42,8975,0.47%,14.5
2026-06-15,46,8595,0.54%,12.6
2026-06-16,47,10247,0.46%,12.4
2026-06-17,39,9144,0.43%,11.4
2026-06-18,46,8784,0.52%,11.5
2026-06-19,37,8361,0.44%,11.5
2026-06-20,45,9581,0.47%,12
2026-06-21,42,8353,0.5%,11.1
2026-06-22,58,8609,0.67%,12
2026-06-23,64,9116,0.7%,13
2026-06-24,60,8096,0.74%,11.6
2026-06-25,57,7852,0.73%,13.1
2026-06-26,57,8453,0.67%,11.5
2026-06-27,44,9054,0.49%,12.1